monitoring_location,stn_code,latitude,longitude,geocode_query,geocoded
Bellandur Lake,3602,12.9371445,77.6720227,"bellandur lake, Karnataka, India",True
Varthur Lake,3608,12.9483533,77.739263,"varthur lake, Karnataka, India",True
Tubrahalli Lake,3610,14.5415972,74.3256803,"lake, Karnataka, India",True
Kaikondanahalli Lake,3611,14.5415972,74.3256803,"lake, Karnataka, India",True
Agaram Lake,3612,14.5415972,74.3256803,"lake, Karnataka, India",True
Puttenahalli Lake (S),3614,12.8913057,77.5878632,"puttenahalli lake s, Karnataka, India",True
Arakere Lake,3615,14.5415972,74.3256803,"lake, Karnataka, India",True
Kalena Agrahara Lake,3616,12.8653973,77.5898754,"kalena agrahara lake, Karnataka, India",True
Hulimavu Lake,3617,12.8700812,77.6042048,"hulimavu lake, Karnataka, India",True
Singasandra Lake,3618,12.8824869,77.6454373,"singasandra lake, Karnataka, India",True
Parappana Agrahara Lake,3620,12.8791972,77.6611797,"parappana agrahara lake, Karnataka, India",True
Haralakunte Lake,3621,14.5415972,74.3256803,"lake, Karnataka, India",True
Somasundra Palya Lake,3622,12.9187861,77.7211285,"palya lake, Karnataka, India",True
Puttenahalli Lake,3624,13.1119851,77.5770582,"puttenahalli lake, Karnataka, India",True
Jakkur Lake,3627,13.0867157,77.6116693,"jakkur lake, Karnataka, India",True
Mulbhagal Lake,3644,14.5415972,74.3256803,"lake, Karnataka, India",True
Devarayasamudra Lake,3645,14.5415972,74.3256803,"lake, Karnataka, India",True
Narasapura Lake,3646,13.1332176,77.9995445,"narasapura lake, Karnataka, India",True
Bugudanahalli Lake,3649,14.5415972,74.3256803,"lake, Karnataka, India",True
Mathana Kere,3659,12.3103805,76.6304982,"kere, Karnataka, India",True
Hunasina Kere,3660,13.0151526,76.0827096,"hunasina kere, Karnataka, India",True
Kokkanaghattadoddakere,3661,,,,False
Sathenahallidoddakere,3667,,,,False
Sheleramanahallikere,3669,,,,False
Hullige Tank,3559,13.1632423,75.8608098,"tank, Karnataka, India",True
Mavenakere,3560,,,,False
Hundikere (Koppal),3561,15.5748238,76.3118494,"koppal, Karnataka, India",True
Pilikula Tank,3565,13.1632423,75.8608098,"tank, Karnataka, India",True
Karanjikere,3588,,,,False
Madiwala Tank,3589,13.1632423,75.8608098,"tank, Karnataka, India",True
Lalbagh Tank,3590,12.9461146,77.5840465,"lalbagh tank, Karnataka, India",True
Sankey Tank,3594,13.0099946,77.5737934,"sankey tank, Karnataka, India",True
Byrasandra Tank,3595,13.1632423,75.8608098,"tank, Karnataka, India",True
Hesaraghatta Tank,3597,13.1632423,75.8608098,"tank, Karnataka, India",True
Herohalli Tank,3598,13.1632423,75.8608098,"tank, Karnataka, India",True
Madavara Tank,3599,13.1632423,75.8608098,"tank, Karnataka, India",True
Shivapura Tank,3600,13.1632423,75.8608098,"tank, Karnataka, India",True
Vengaihnakere,3603,,,,False
Doddanakundi Tank,3604,13.1632423,75.8608098,"tank, Karnataka, India",True
Yellamallappa Tank,3605,13.1632423,75.8608098,"tank, Karnataka, India",True
Dasarahalli Tank,3606,13.0411364,77.5124586,"dasarahalli tank, Karnataka, India",True
Kalkere Tank,3607,13.1632423,75.8608098,"tank, Karnataka, India",True
Begur Tank,3619,13.1632423,75.8608098,"tank, Karnataka, India",True
Nagavara Tank,3626,13.1632423,75.8608098,"tank, Karnataka, India",True
Allasandra Tank,3629,13.1632423,75.8608098,"tank, Karnataka, India",True
Yelahanka Tank,3630,13.1632423,75.8608098,"tank, Karnataka, India",True
Veerapura Tank,3632,13.1632423,75.8608098,"tank, Karnataka, India",True
Devarakere Tank,3634,13.1632423,75.8608098,"tank, Karnataka, India",True
Malathahalli Tank,3635,13.1632423,75.8608098,"tank, Karnataka, India",True
Byramangala Tank,3637,13.1632423,75.8608098,"tank, Karnataka, India",True
Uttarahalli Doraikere Tank,3640,13.1632423,75.8608098,"tank, Karnataka, India",True
Dhorekere Tank,3641,13.1632423,75.8608098,"tank, Karnataka, India",True
Beenniganahalli Tank,3643,13.1632423,75.8608098,"tank, Karnataka, India",True
Mydala Tank,3648,13.1632423,75.8608098,"tank, Karnataka, India",True
Melekote Tank,3650,13.1632423,75.8608098,"tank, Karnataka, India",True
Bheemsandra Tank,3651,13.1632423,75.8608098,"tank, Karnataka, India",True
Doddakere Tank,3653,13.1632423,75.8608098,"tank, Karnataka, India",True
Gottigere Lake,3654,14.5415972,74.3256803,"lake, Karnataka, India",True
Nallikatte Kere Tank,3656,13.0099946,77.5737934,"kere tank, Karnataka, India",True
Kaachachalli Koppalukere Tank,3657,13.1632423,75.8608098,"tank, Karnataka, India",True
Kawshikakere Tank,3662,13.1632423,75.8608098,"tank, Karnataka, India",True
Joladakatte Tank,3663,13.1632423,75.8608098,"tank, Karnataka, India",True
Basavanahallikere Tank,3664,13.1632423,75.8608098,"tank, Karnataka, India",True
Lingappanakatte Tank,3665,13.1632423,75.8608098,"tank, Karnataka, India",True
Ganigarahosahallikere Tank,3666,13.1632423,75.8608098,"tank, Karnataka, India",True
Sodharahallikere Tank,3668,13.1632423,75.8608098,"tank, Karnataka, India",True
Hainarakatte Tank,3670,13.1632423,75.8608098,"tank, Karnataka, India",True
Hanumanthapurakatte Tank,3671,13.1632423,75.8608098,"tank, Karnataka, India",True
Sankalapurakere Tank,3672,13.1632423,75.8608098,"tank, Karnataka, India",True
Havalikere Tank,3673,13.1632423,75.8608098,"tank, Karnataka, India",True
Sathamangalakeretank,3674,,,,False
B Kalehallikere Tank,3675,13.1632423,75.8608098,"tank, Karnataka, India",True
Thavenahallikere Tank,3676,13.1632423,75.8608098,"tank, Karnataka, India",True
Sharanabaweshwara Kere Tank,3677,13.0099946,77.5737934,"kere tank, Karnataka, India",True
Bhutanala Lake,3679,14.5415972,74.3256803,"lake, Karnataka, India",True
Killa Lake,3680,14.5415972,74.3256803,"lake, Karnataka, India",True
Angol Mi Tanltank,3681,,,,False
Kakati Pond,3682,15.8222671,74.4804051,"pond, Karnataka, India",True
Herekeretank,3683,,,,False
Kelegeretank,3684,,,,False
Navalooru Lake,3685,14.5415972,74.3256803,"lake, Karnataka, India",True
Nirasagarakeretank,3686,,,,False
Nuggikeretank,3687,,,,False
Sudanakeretank,3688,,,,False
Someshwarakeretank,3689,,,,False
Unakalkeretank,3690,,,,False
Vimanabhuthikere Tank,3691,13.1632423,75.8608098,"tank, Karnataka, India",True
Kunduvadakeretank,3692,,,,False
Bhathikeretank,3693,,,,False
Shanthisagarkeretank,3694,,,,False
Kondaggikeretank,3695,,,,False
Aianakeretank,3696,,,,False
Krishna U/S Of Ugarkhurd Barrage,1182,,,"krishna ugarkhurd, Karnataka, India",False
Krishna - Ankali Bridge Along Chikkodi Kagwad Road,1889,16.6960786,74.7187223,"kagwad, Karnataka, India",True
Krishna D/S Of Narayanpura Dam,1181,15.4559068,74.9922057,"krishna narayanpura, Karnataka, India",True
Krishna At Tintini Bridge,1028,,,"krishna tintini, Karnataka, India",False
Krishnad/S Of Devasagar Bdg.,1170,,,"krishnad/s devasagar ., Karnataka, India",False
Krishna D/S Of Alamatti Dam,2781,16.3451718,75.8923516,"alamatti, Karnataka, India",True
Bhima D/S Of Road Bridge At Gangapur Village,1183,12.9617214,77.6366258,"village, Karnataka, India",True
Bhima D/S Ferozabad Village,1184,12.9617214,77.6366258,"village, Karnataka, India",True
Bhima At Confluence Of Jewargi Town Sewage Disposal Point,1888,13.3067379,77.6125389,"disposal, Karnataka, India",True
Bhima D/S Of Bdg. Near Yadgir,1167,16.5744123,76.9254434,"yadgir, Karnataka, India",True
Ghatprabha D/S Of Mudhol Rd. Cross Bdg,1185,12.9529035,77.5158003,"cross, Karnataka, India",True
Ghatprabha At W.A. Point To Gokak Town,1163,13.1016789,77.5756532,"town, Karnataka, India",True
Malprabha D/S Of Khanapur Village,1187,12.9617214,77.6366258,"village, Karnataka, India",True
"Malprabha At Water Abstr. Pt. To Hubli, Dharwar",1164,15.4540505,75.0066516,"dharwar, Karnataka, India",True
Malprabha D/S Of Aihole Town,1186,13.1016789,77.5756532,"town, Karnataka, India",True
Malprabha At Badami Bridge,2764,15.9203874,75.6807865,"badami, Karnataka, India",True
Tunghabhadra At Honnali Bridge,38,14.2389785,75.6457434,"honnali, Karnataka, India",True
Tunghabhadra At Haralahalli Bridge,1029,13.0236469,76.0551085,"haralahalli, Karnataka, India",True
Tunghabhadra At Ullanur,29,,,"tunghabhadra ullanur, Karnataka, India",False
Tungabhadra At New Bridge,2766,15.9648343,77.366508,"tungabhadra, Karnataka, India",True
Tungabhadra U/S Of Hpf,2767,15.9648343,77.366508,"tungabhadra, Karnataka, India",True
Tungabhadra D/S Of Hpf,2768,15.9648343,77.366508,"tungabhadra, Karnataka, India",True
Tungabhadra At Jackwell Point,2769,15.9648343,77.366508,"tungabhadra, Karnataka, India",True
Tungabhadra At Harihar Water Supply Intake,2770,14.5153541,75.8110476,"harihar, Karnataka, India",True
Tungha D/S Of Shimoga Town,1168,13.1016789,77.5756532,"town, Karnataka, India",True
Kagina D/S Of Sewage Disposal Point,1895,13.3067379,77.6125389,"disposal, Karnataka, India",True
Confluence Point Of Tunga And Bhadra At Kudli,1896,18.1124192,77.3351885,"kudli, Karnataka, India",True
Bhadra D/S Malleswaram Of Kiocl,1091,13.2097913,75.2503201,"kiocl, Karnataka, India",True
Bhadra D/S Of Bhadravathi,1387,13.8363715,75.6447514,"bhadra bhadravathi, Karnataka, India",True
"Bhadra D/S Of Kiocl Road Bridge, Near Holehunnur",1169,,,"bhadra kiocl holehunnur, Karnataka, India",False
"Bhadra U/S Of Mpm,",2765,13.4893942,75.5273902,"bhadra, Karnataka, India",True
Bhadra U/S Of Kiocl,2771,13.2097913,75.2503201,"kiocl, Karnataka, India",True
Kagina At Shahabad Bridge,2777,17.220367,77.3708457,"kagina shahabad, Karnataka, India",True
Asangi Nalla At Asangi Village,2763,12.9617214,77.6366258,"village, Karnataka, India",True
Tungabhadra D/S Of Gangawathi,2776,,,"tungabhadra gangawathi, Karnataka, India",False
Cauvery D/S Napokulu Bdg,1198,,,"cauvery napokulu, Karnataka, India",False
Cauvery U/Skushal Nagar (Near Baichanahalli),1195,12.4540512,75.9538266,"baichanahalli, Karnataka, India",True
"Cauvery At Krs Dam, Balamurikshetra",33,,,"cauvery krs balamurikshetra, Karnataka, India",False
Cauvery At Sathyagalam Bridge,34,,,"cauvery sathyagalam, Karnataka, India",False
"Cauveryd/S Sri Rangapattanna, Of Road Bdg",1171,,,"cauveryd/s sri rangapattanna, Karnataka, India",False
Cauvery D/S Of Karekuara Village,1386,12.9617214,77.6366258,"village, Karnataka, India",True
Cauvery At Bannur Bridge,2773,12.3053048,76.6959064,"cauvery bannur, Karnataka, India",True
Cauvery At Ranganathittu,2774,12.4280703,76.653645,"ranganathittu, Karnataka, India",True
Netravathi U/S Of Dharmastala At Water Supply Intake Point,1892,12.9519571,75.3813122,"dharmastala, Karnataka, India",True
Yagachi Near Pumping Station. Hassan City,1893,13.0222347,77.5671832,"city, Karnataka, India",True
Hemavati D/S Of Holenarasipura Town At Ramadevala Weir,1199,16.2163383,74.7515981,"weir, Karnataka, India",True
"Shimsha D/S Of Highway Bridge, Yediyar",1200,,,"Yediyar, Karnataka, India",False
"Shimsha D/S Of Bridge, Halagur",1166,,,"Halagur, Karnataka, India",False
Arkavathi D/S Of Kanakapura Town,1165,13.1016789,77.5756532,"town, Karnataka, India",True
Arkavathi At T.G. Halli Reservoir,2778,12.9392713,77.5722595,"reservoir, Karnataka, India",True
Lakshmantirtha D/S Of Hunsur Town,1196,13.1016789,77.5756532,"town, Karnataka, India",True
Lakshmantirtha D/S Of Kattemalavadi,2772,12.3518289,76.2890432,"kattemalavadi, Karnataka, India",True
Kabbani D/S Saragur Village,1197,12.9617214,77.6366258,"village, Karnataka, India",True
Kabbani At Cause Way Sattur,41,15.4105056,75.0456504,"sattur, Karnataka, India",True
Kabbani At Water Intake Of Kiadb At Nanjangud,1445,12.1220681,76.6843409,"nanjangud, Karnataka, India",True
"Kabini At Bathing Ghat, Nanjanagud",2775,12.0140065,76.4152088,"Kabini, Karnataka, India",True
"Heballa Valley Lake At D-S Road Bridge Nr. Mandya, Karnataka",1446,12.6391039,76.4929544,"lake mandya karnataka, Karnataka, India",True
Kempambudhi Lake,3591,14.5415972,74.3256803,"lake, Karnataka, India",True
Gottegre Lake,3613,14.5415972,74.3256803,"lake, Karnataka, India",True
Huledanahalli Lake,3647,14.5415972,74.3256803,"lake, Karnataka, India",True
Annayappa Tank,3638,13.1632423,75.8608098,"tank, Karnataka, India",True
Kengeri Tank,3639,13.1632423,75.8608098,"tank, Karnataka, India",True
Uttarahalli Doraikere,3640,,,,False
Dhorekere,3641,,,,False
Mydala,3648,,,,False
Melekote,3650,12.5570664,77.4151933,"melekote, Karnataka, India",True
Sodharahallikere,3668,,,,False
Sharanabaweshwara Kere,3677,12.3103805,76.6304982,"kere, Karnataka, India",True
Angol Mi Tanl,3681,,,,False
Herekere,3683,12.9512305,77.4587347,"herekere, Karnataka, India",True
Kelegere,3684,,,,False
Nirasagarakere,3686,,,,False
Nuggikere,3687,15.4154169,75.0055215,"nuggikere, Karnataka, India",True
Sudanakere,3688,,,,False
Someshwarakere,3689,,,,False
Unakalkere,3690,,,,False
Vimanabhuthikere,3691,,,,False
Kunduvadakere,3692,,,,False
Bhathikere,3693,,,,False
Shanthisagarkere,3694,,,,False
Kondaggikere,3695,,,,False
Aianakere,3696,,,,False
Mattadakere,3697,,,,False
2780,GEN-D47844,14.8143303,74.1424757,"2780, Karnataka, India",True
"Krishna At U/S Of Ugarkhurd Barrage,",1182,,,"krishna ugarkhurd, Karnataka, India",False
Krishna Ankali Bridge Along Chikkodi Kagwad Road,1889,16.6960786,74.7187223,"kagwad, Karnataka, India",True
"Krishna At D/S Of Narayanpura Dam,",1181,15.4559068,74.9922057,"krishna narayanpura, Karnataka, India",True
Krishna At D/S Of Devasagar Bdg.,1170,,,"krishna devasagar ., Karnataka, India",False
"Krishna At Tintini Bridge,",1028,,,"krishna tintini, Karnataka, India",False
"Krishna At D/S Of Alamatti Dam,",2781,16.3451718,75.8923516,"alamatti, Karnataka, India",True
"Bhima At D/S Of Road Bridge At Gangapur Village,",1183,12.9423718,77.6251542,"village, Karnataka, India",True
"Bhima At Ferozabad Village (D/S),",1184,12.9423718,77.6251542,"village, Karnataka, India",True
"Bhima At D/S Of Bdg. Near Yadgir,",1167,16.5744123,76.9254434,"yadgir, Karnataka, India",True
Bhima River At Confluence Of Jewargi Town Sewage Disposal Point,1888,13.3067379,77.6125389,"disposal, Karnataka, India",True
Ghatprabha At D/S Of Mudhol Rd. Cross Bdg.,1185,12.9529035,77.5158003,"cross, Karnataka, India",True
"Ghatprabha At W.A. Point To Gokak Town,",1163,13.1016789,77.5756532,"town, Karnataka, India",True
"Malprabha At D/S Of Khanapur Village,",1187,12.9423718,77.6251542,"village, Karnataka, India",True
"Malprabha At Water Abstr. Pt. To Hubli, Dharwar,",1164,15.4540505,75.0066516,"dharwar, Karnataka, India",True
"Malprabha At D/S Of Aihole Town,",1186,13.1016789,77.5756532,"town, Karnataka, India",True
"Malprabha At Badami Bridge,",2764,15.9203874,75.6807865,"badami, Karnataka, India",True
"Tungabhadra At Haralahalli Bridge,",1029,13.0236469,76.0551085,"haralahalli, Karnataka, India",True
Tungabhadra At Ullanur,29,,,"tungabhadra ullanur, Karnataka, India",False
"Tungabhadra At U/S Of Hpf,",2767,15.9648343,77.366508,"tungabhadra, Karnataka, India",True
"Tungabhadra At D/S Of Hpf,",2768,15.9648343,77.366508,"tungabhadra, Karnataka, India",True
"Tungabhadra At Jackwell Point,",2769,15.9648343,77.366508,"tungabhadra, Karnataka, India",True
"Tungabhadra At Harihar Water Supply Intake,",2770,14.5153541,75.8110476,"harihar, Karnataka, India",True
"Tungabhadra At D/S Of Gangawathi,",2776,,,"tungabhadra gangawathi, Karnataka, India",False
"Tungabhadra At New Bridge,",2766,15.9648343,77.366508,"tungabhadra, Karnataka, India",True
Tungabhadra At Honnali Bridge,2766,14.2389785,75.6457434,"honnali, Karnataka, India",True
"Tunga At D/S Of Shimoga Town,",1168,13.1016789,77.5756532,"town, Karnataka, India",True
Tungabhadra At Confluence Point Of Tunga And Bhadra At Kudli,1896,18.1124192,77.3351885,"kudli, Karnataka, India",True
Bhadra At Malleswaram D/S Of Kiocl,1091,13.2097913,75.2503201,"kiocl, Karnataka, India",True
"Bhadra At D/S Of Bhadravathi,",1387,13.8363715,75.6447514,"bhadra bhadravathi, Karnataka, India",True
"Bhadra At D/S Of Kiocl Road Bridge, Near Holehunnur,",1169,,,"bhadra kiocl holehunnur, Karnataka, India",False
"Bhadra At U/S Of Mpm,",2765,13.4893942,75.5273902,"bhadra, Karnataka, India",True
"Bhadra At U/S Of Kiocl,",2771,13.2097913,75.2503201,"kiocl, Karnataka, India",True
"Kagina At Shahabad Bridge,",2777,17.220367,77.3708457,"kagina shahabad, Karnataka, India",True
"Asangi Nalla At Asangi Village,",2763,12.9423718,77.6251542,"village, Karnataka, India",True
"Cauvery At Napokulu Bdg (D/S),",1198,,,"cauvery napokulu, Karnataka, India",False
"Cauvery At Kushal Nagar U/S (Near Baichanahalli),",1195,12.4540512,75.9538266,"baichanahalli, Karnataka, India",True
"Cauvery At D/S Of Karekuara Village,",1386,12.9423718,77.6251542,"village, Karnataka, India",True
"Cauvery At Sri Rangapattanna, D/S Of Road Bdg.,",1171,,,"cauvery sri rangapattanna ., Karnataka, India",False
"Cauvery At Bannur Bridge,",2773,12.3053048,76.6959064,"cauvery bannur, Karnataka, India",True
"Cauvery At Ranganathittu,",2774,12.4280703,76.653645,"ranganathittu, Karnataka, India",True
Cauvery At Krs Dam Mandya,3576,12.6368939,76.7275477,"mandya, Karnataka, India",True
Cauvery At Water Supply Intake Point To Srirangapatna Town,3578,13.1016789,77.5756532,"town, Karnataka, India",True
Cauvery At Water Supply Intake Point To Mandya Town,3579,13.1016789,77.5756532,"town, Karnataka, India",True
Cauvery D/S Of Kr Nagar Bridge,3581,12.9730088,77.5804711,"nagar, Karnataka, India",True
Cauvery U/S Of Kr Nagar,1322,12.9730088,77.5804711,"nagar, Karnataka, India",True
Cauvery D/S Of Kushalanagar Town,51,13.1016789,77.5756532,"town, Karnataka, India",True
Cauvery At Water Supply Intake Point To Madikeri Town,1320,13.1016789,77.5756532,"town, Karnataka, India",True
Cauvery At Water Supply Intake Point To Mysore Pump House,1323,12.9630135,77.7177141,"house, Karnataka, India",True
Cauvery D/S Of Maddur Water Supply Treatment Plant At Bachalli,3015,12.6720777,75.7562095,"bachalli, Karnataka, India",True
Cauvery At Water Supply Intake Point At Kollegala Dasanapura,1324,12.7467724,77.7742876,"dasanapura, Karnataka, India",True
Cauvery At Water Supply Intake Point At T K Halli,1451,17.8401056,76.8684901,"halli, Karnataka, India",True
Hemavati At D/S Of Holenarasipura Town At Ramadevala Weir,1199,16.2163383,74.7515981,"weir, Karnataka, India",True
"Shimsha At D/S Of Highway Bridge, Yediyar,",1200,12.8027322,76.972542,"Shimsha, Karnataka, India",True
"Shimsha At D/S Of Bridge, Halagur,",1166,12.8027322,76.972542,"Shimsha, Karnataka, India",True
Shimsha D/S Near Madduar Town,3567,13.1016789,77.5756532,"town, Karnataka, India",True
Shimsha At Water Supply Intake Point At Madduar,3580,12.8027322,76.972542,"Shimsha, Karnataka, India",True
"Arkavathi At D/S Of Kanakapura Town,",1165,13.1016789,77.5756532,"town, Karnataka, India",True
"Arkavathi At T.G. Halli Reservoir, ,",2778,12.9392713,77.5722595,"reservoir, Karnataka, India",True
"Kabini At Saragur Village D/S,",1197,12.9423718,77.6251542,"village, Karnataka, India",True
Kabini At Cause Way Sattur,41,15.4105056,75.0456504,"sattur, Karnataka, India",True
"Kabini At Water Intake Of Kiadb At Nanjangud,",1445,12.1220681,76.6843409,"nanjangud, Karnataka, India",True
"Kabini At Bathing Ghat, Nanjanagud,",2775,12.0140065,76.4152088,"Kabini, Karnataka, India",True
Kabini U/S Intake Point To Nanjanagud & Gundlupet At Debur,3575,12.7955792,77.6989396,"Kabini U, Karnataka, India",True
Kabini At Water Supply Intake Point To T. Narasipura,3577,13.2702874,77.2346786,"narasipura, Karnataka, India",True
"Lakshmantirtha At D/S Of Hunsur Town,",1196,13.1016789,77.5756532,"town, Karnataka, India",True
"Lakshmantirtha At D/S Of Kattemalavadi,",2772,12.3518289,76.2890432,"kattemalavadi, Karnataka, India",True
3582,GEN-9D684C,14.8143303,74.1424757,"3582, Karnataka, India",True
3583,GEN-69EBA3,14.8143303,74.1424757,"3583, Karnataka, India",True
3584,GEN-565767,14.8143303,74.1424757,"3584, Karnataka, India",True
3585,GEN-2668A7,14.8143303,74.1424757,"3585, Karnataka, India",True
3586,GEN-224E5E,14.8143303,74.1424757,"3586, Karnataka, India",True
3587,GEN-ABA53D,14.8143303,74.1424757,"3587, Karnataka, India",True
3591,GEN-9001CA,14.8143303,74.1424757,"3591, Karnataka, India",True
3592,GEN-69F357,14.8143303,74.1424757,"3592, Karnataka, India",True
3601,GEN-62E7F2,14.8143303,74.1424757,"3601, Karnataka, India",True
3602,GEN-228B25,14.8143303,74.1424757,"3602, Karnataka, India",True
3608,GEN-60A057,14.8143303,74.1424757,"3608, Karnataka, India",True
3610,GEN-F95EC3,14.8143303,74.1424757,"3610, Karnataka, India",True
3611,GEN-4CF33E,14.8143303,74.1424757,"3611, Karnataka, India",True
3612,GEN-D87CA5,14.8143303,74.1424757,"3612, Karnataka, India",True
3613,GEN-C4FA7A,14.8143303,74.1424757,"3613, Karnataka, India",True
3614,GEN-6ADD07,14.8143303,74.1424757,"3614, Karnataka, India",True
3615,GEN-D8C9D0,14.8143303,74.1424757,"3615, Karnataka, India",True
3616,GEN-78D69F,14.8143303,74.1424757,"3616, Karnataka, India",True
3617,GEN-DB6851,14.8143303,74.1424757,"3617, Karnataka, India",True
3618,GEN-4DA9D7,14.8143303,74.1424757,"3618, Karnataka, India",True
3620,GEN-4BAF54,14.8143303,74.1424757,"3620, Karnataka, India",True
3621,GEN-C5B270,14.8143303,74.1424757,"3621, Karnataka, India",True
3622,GEN-856B50,14.8143303,74.1424757,"3622, Karnataka, India",True
3624,GEN-5EE007,14.8143303,74.1424757,"3624, Karnataka, India",True
3625,GEN-DD7970,14.8143303,74.1424757,"3625, Karnataka, India",True
3627,GEN-2BF283,14.8143303,74.1424757,"3627, Karnataka, India",True
3628,GEN-3E524B,14.8143303,74.1424757,"3628, Karnataka, India",True
3644,GEN-8A0572,14.8143303,74.1424757,"3644, Karnataka, India",True
3645,GEN-D0AA51,14.8143303,74.1424757,"3645, Karnataka, India",True
3646,GEN-B5A1D9,13.1100853,77.8164328,"3646, Karnataka, India",True
3647,GEN-0D8080,14.8143303,74.1424757,"3647, Karnataka, India",True
3649,GEN-49C0FA,14.8143303,74.1424757,"3649, Karnataka, India",True
3559,GEN-F11BEC,14.8143303,74.1424757,"3559, Karnataka, India",True
3560,GEN-0AE1DD,14.8143303,74.1424757,"3560, Karnataka, India",True
3561,GEN-414A74,14.8143303,74.1424757,"3561, Karnataka, India",True
3565,GEN-E6E713,14.8143303,74.1424757,"3565, Karnataka, India",True
3588,GEN-C2964C,14.8143303,74.1424757,"3588, Karnataka, India",True
3589,GEN-A385D7,14.8143303,74.1424757,"3589, Karnataka, India",True
3590,GEN-DA6EA7,14.8143303,74.1424757,"3590, Karnataka, India",True
3594,GEN-DCE8AF,14.8143303,74.1424757,"3594, Karnataka, India",True
3595,GEN-C0E851,14.8143303,74.1424757,"3595, Karnataka, India",True
3597,GEN-B89C30,14.8143303,74.1424757,"3597, Karnataka, India",True
3598,GEN-6A4504,14.8143303,74.1424757,"3598, Karnataka, India",True
3599,GEN-E7E69C,14.8143303,74.1424757,"3599, Karnataka, India",True
3600,GEN-8D7628,14.8143303,74.1424757,"3600, Karnataka, India",True
3603,GEN-6A8018,14.8143303,74.1424757,"3603, Karnataka, India",True
3604,GEN-C254E7,12.9657791,77.6390671,"3604, Karnataka, India",True
3605,GEN-A05D88,14.8143303,74.1424757,"3605, Karnataka, India",True
3606,GEN-774B0E,14.8143303,74.1424757,"3606, Karnataka, India",True
3619,GEN-820E69,14.8143303,74.1424757,"3619, Karnataka, India",True
3626,GEN-0EE8B8,14.8143303,74.1424757,"3626, Karnataka, India",True
3629,GEN-1305F6,14.8143303,74.1424757,"3629, Karnataka, India",True
3630,GEN-1A5518,14.8143303,74.1424757,"3630, Karnataka, India",True
3632,GEN-398475,14.8143303,74.1424757,"3632, Karnataka, India",True
3634,GEN-E2EABA,14.8143303,74.1424757,"3634, Karnataka, India",True
