monitoring_location,stn_code,latitude,longitude,geocode_query,geocoded
Well At Olpad.,2090,21.3360054,72.7516479,"olpad., Gujarat, India",True
From Bore Well Of Navsari Gidc Industries Associat,2091,,,,False
Bore Well Of Bardoli At Rest House.,2093,22.2428182,68.956734,"rest house., Gujarat, India",True
Well At Ankleshwar Industrial Area (Bore Well Of M,2094,23.8589305,72.10173,"well, Gujarat, India",True
"Bore Well, Snr. Vinayak Jal Suddhikaran Sahakari M",2096,21.0896533,71.7684296,"sahakari, Gujarat, India",True
"Bore Well Of Someshwar Rice Mill, Nr. Bavla Eco Pr",2097,22.8278859,72.3684741,"bavla, Gujarat, India",True
"Bore Well Of Pirana Terminal Pumping Station, Pira",2098,22.8228981,70.8243586,"pira, Gujarat, India",True
"Borewell Of Gidc,Jhagadia",3207,21.7157199,73.1497026,"jhagadia, Gujarat, India",True
"Jilla Panchayat School, Near Gram Panchayat Kata F",3208,22.1041566,69.2607343,"kata, Gujarat, India",True
"Borewell Of Gayatri Pragna School, Bhadarwad Road,",3209,,,,False
"Borewell At Piramal Glass, Village Tarsadi At Kos",3210,21.455452,72.9437759,"piramal glass tarsadi, Gujarat, India",True
"Borewell At Primary Health Center, Kadodara, Surat",3211,21.170118,72.965079,"kadodara surat, Gujarat, India",True
"Borewell Near Center Of Excellence Building, Gidc,",3212,21.092746,72.8580597,"gidc, Gujarat, India",True
"Borewell, Cetp-Naroda, Gidc, Naroda-Ahmedabad",3213,23.0926586,72.6687953,"gidc naroda ahmedabad, Gujarat, India",True
Borewell Near Gidc Odhav Industrial Association Bu,3214,22.3627855,70.7100844,"association, Gujarat, India",True
"Borewell Near Municipal Solid Waste Site- Gyaspur,",3215,22.9845276,72.528063,"gyaspur, Gujarat, India",True
Borewell Near Tsdf Site Of Green Environmnet Servi,3216,,,,False
Borewell Near Tsdf Site Of Naroda Enviro Project.L,3217,21.8378767,73.7559924,"project.l, Gujarat, India",True
"Well Of Modasa, Nagar Palika, Varigruh, Modasa",3218,23.4634245,73.2990631,"modasa, Gujarat, India",True
"Well Of Idar, Nagar Palika, Sakaria, Idar",3219,23.8362255,73.0114616,"idar, Gujarat, India",True
"Borewell Of Gidc-Nadiad At Gidc Office, Gidc Nadia",3220,,,,False
"Borewell Of Town Rajpipla, Dist.Narmada",3221,21.8697448,73.5048135,"town rajpipla dist.narmada, Gujarat, India",True
"Borewell Of Gidc, Panoli",3222,21.5635064,72.9819968,"gidc panoli, Gujarat, India",True
Borewell Kadi Industrial Area,3223,23.025126,72.6543805,"industrial, Gujarat, India",True
Deesa Borewell,3224,24.2594977,72.1803348,"deesa, Gujarat, India",True
Visnagar Borewell,3225,23.6978037,72.5507598,"visnagar, Gujarat, India",True
Patan Borewell,3226,23.773753,71.6798581,"patan, Gujarat, India",True
Vijapur (Ranasan) Borewell,3227,23.4680107,73.1120471,"ranasan, Gujarat, India",True
"Gidc, Halol, Panchmahal",3228,22.5415068,73.4334443,"halol panchmahal, Gujarat, India",True
"Gidc, Dahod, Dahod",3229,22.8358786,74.2556823,"dahod dahod, Gujarat, India",True
"Borewell Of Gidc, Junagadh",3230,21.5220416,70.4582458,"junagadh, Gujarat, India",True
Borewell Near Tsdf Site Of Saurashtra Enviro Proje,3231,,,,False
"Borewell Of Gidc, Antalia Water Supply, Billimora,",3232,,,,False
"Borewell Of Kaliawadi Grid Road, Navsari",3233,20.952407,72.9323831,"navsari, Gujarat, India",True
Borewell Nera Tsdf Of Nandesari Enviro Control Lim,3234,22.3000929,73.1775354,"control, Gujarat, India",True
"Borewell Of Gidc Kalol, B/H Gidc Office, Gidc, Kal",3235,22.9714727,72.6278738,"gidc office gidc, Gujarat, India",True
"Borewell Of M/S Alfa Eca (I) Ltd., Unit-1, Sr.No.",3236,,,,False
"Borewell Of L & T Ltd., Plot No. 144/146, Sarkhej-",3237,22.983483,72.5007203,"144/146 sarkhej, Gujarat, India",True
Borewell Of Gidc Kansari,3238,24.328543,72.1350288,"kansari, Gujarat, India",True
"Borewell Of Gidc, Sojitra",3239,22.5391166,72.7192782,"sojitra, Gujarat, India",True
"Borewell Near Municipal Solid Waste Site, Nakarwad",3241,,,,False
"Borewell Near Tsdf Of Gujarat Maritime Board, Alan",3242,,,,False
"Borewell Of Gidc, Vartej, Bhavnagar",3243,21.7397432,72.0644938,"vartej bhavnagar, Gujarat, India",True
Borewell Near Tsdf Of Bharuch Enviro Infrastructur,3244,,,,False
Borewell At Dhangadhra Near Dhangadhra Chemicals,3245,22.3728914,73.1506188,"chemicals, Gujarat, India",True
"Borewell Of Gidc Office, Shankar Tekri, Udhyognaga",3246,,,,False
"Borewell Of Shri Mahavir Metal Craft Pvt. Ltd., Pl",3247,23.0454997,72.5076242,"pvt. ltd., Gujarat, India",True
Ambika At Bilimora,1148,20.7671693,72.9693451,"bilimora, Gujarat, India",True
Kolak At Patalia Bdg,1149,,,,False
"Kolak At Railway Bridge No. 313 Vapi,Valsad",1435,20.3735482,72.9084376,"vapi valsad, Gujarat, India",True
Damanganga U\S Kachigaon At Gidc Wier,1150,,,,False
Damanganga D\S Kachigaon (Daman),1246,20.2072531,73.2762766,"daman, Gujarat, India",True
Amlakhadi A/C Of W. Water From Anklesh,1434,,,,False
Bhadar D/S Jetpur Vill. A/C Of W.Water From Jetpur City,1436,21.7543725,70.6189391,"jetpur city, Gujarat, India",True
Mindhola At State Highway Bridge Sachin,1438,21.0778781,72.8744643,"sachin, Gujarat, India",True
Balehwar Khadi At N.H. No. 8,1860,23.0185795,72.5713814,"n.h., Gujarat, India",True
Purna On Bridge At Surat-Navsari Highway,1861,21.0055271,73.0916595,"purna surat navsari, Gujarat, India",True
Kaveri On Bridge At Billimora- Valsad Road,1862,20.4321957,73.1409893,"valsad, Gujarat, India",True
Dhadar At Kothada,1865,,,,False
Amlakhadi At Pungam Ankleshwar Distt Bharuch,1980,21.6293206,72.9945103,"ankleshwar distt bharuch, Gujarat, India",True
Bhogavo D/S Of Surendranagar.,2072,22.8251395,71.6209736,"surendranagar., Gujarat, India",True
"Triveni Sangam, Nr. Somnath Temple, Veraval, Dist",2082,20.8877607,70.4013906,"temple veraval dist, Gujarat, India",True
Narsimehta Talav- Junagadh,1976,21.5270947,70.5036512,"talav junagadh, Gujarat, India",True
City Lake Of Nadiad,1977,22.598341,72.8200181,"lake nadiad, Gujarat, India",True
Mahi At Umeta Bridge,1863,22.333298,73.0514182,"umeta, Gujarat, India",True
Mahi At Mujpur,1864,22.2518665,72.9919347,"mujpur, Gujarat, India",True
Mahi At Sevalia,4,22.8179181,73.404794,"sevalia, Gujarat, India",True
Mahi At Vasad,5,22.4516351,73.0671647,"vasad, Gujarat, India",True
Mahi After Conf. With Anas At Pardi (Banaswada),1230,,,,False
Mahi At Virpur,1231,21.8490419,70.707834,"virpur, Gujarat, India",True
Mahi At Sherkhi Bridge,3206,,,,False
"Anas At Dahod,(Kushalgarh),Dist. Panchmahal",1228,22.5415068,73.4334443,"dist. panchmahal, Gujarat, India",True
Panam At Lunawada,1227,,,,False
Vishwamitri Downstream At Khalipur Villag,3204,,,,False
"Vishwamitri, Upstream At Asod Bridge At Nh-8 Near Glden Chokdi, Asod Vemali Road",3205,,,,False
Sabarmati At Dharoi Dam,1,23.9863211,72.9116811,"dharoi, Gujarat, India",True
Sabarmati At Ahmedabad At V.N. Bridge,2,23.021774,72.623712,"v.n., Gujarat, India",True
Sabarmati At Kheroj Bridge,1221,,,,False
Sabarmati A/C With Meshwa At Vautha Near Dhokla,1223,22.2403001,68.9669066,"dhokla, Gujarat, India",True
"Sabarmati At Gandhi Nagar Chiloda Bridge,Lekawada",1407,,,,False
"Sabarmati At Vill. Miroli Taluka Dascroi,Ahmedabad",1408,23.0215374,72.5800568,"ahmedabad, Gujarat, India",True
Sabarmati At Railway Bridge Ahmedabad,1409,23.0773,72.5863308,"sabarmati railway ahmedabad, Gujarat, India",True
"Sabarmati At Mahudi Jain Temple, 150 Km. Form Origin",1482,23.8344451,71.5482993,"origin, Gujarat, India",True
Sabarmati At Hansaol Bridge,1866,,,,False
Khari At Lali Village Near Ahmedabad,1437,22.8689262,72.6280463,"lali ahmedabad, Gujarat, India",True
Shedhi At Kheda,1222,22.8990926,72.9948451,"shedhi kheda, Gujarat, India",True
Narmada At Garudeshwar,7,21.9151502,73.7474678,"narmada garudeshwar, Gujarat, India",True
Narmada At Chandod,1245,21.9866962,73.4545373,"chandod, Gujarat, India",True
Narmada At Panetha,1244,21.8899476,73.2682943,"panetha, Gujarat, India",True
"Narmada At Zanor (Ntpc), Bharuch",1981,21.8242754,73.1136745,"ntpc bharuch, Gujarat, India",True
"Narmada At Bharuch,Zadeshvar",1243,,,,False
"Tapi At Ukai, Sherula Bridge",46,,,,False
Tapi At Mandavi,1247,,,,False
"Tapi At Kathore, (Nh-8 Bridge)",47,,,,False
Tapi U/S Surat Kathore,1248,,,,False
"Tapi At Rander Bridge, Surat",1982,21.2160703,72.799745,"rander surat, Gujarat, India",True
Tapi Near Bardoli (Kapp Bridge) Bardoli,1983,21.1338291,73.1053896,"bardoli, Gujarat, India",True
"Tapi At Ongc Bridge At Surat, Dist. Surat",2071,21.1652945,72.7763076,"surat dist. surat, Gujarat, India",True
"Kim At Sahol Bridge, Olpad Hansot Road, Dist",2070,21.5858279,72.8101435,"hansot dist, Gujarat, India",True
"Amravati At Village Dadhal , Ta Ankleshwar, Bharuc",3203,,,,False
"Well At Ahmedabad,",3,23.0260917,72.4821409,"well ahmedabad, Gujarat, India",True
"Well At Baroda,",6,22.2973142,73.1942567,"baroda, Gujarat, India",True
"Well At Narol, Ahmedabad,",1226,22.9688355,72.6067645,"narol ahmedabad, Gujarat, India",True
Pandesara (Indstrial) Surat,1964,21.2094892,72.8317058,"surat, Gujarat, India",True
"Atul, Village G.W, (Valsad)",1967,20.5472816,72.9278239,"atul valsad, Gujarat, India",True
B/W- Hazardous W. Disposal Site (Guj. Enviro P.& I. Ltd. ),2087,22.0888597,71.7032161,"ltd., Gujarat, India",True
"B/W Near Indl. Area Borasara & Navapura, Dist. Surat.",2089,21.196373,72.8299922,"navapura dist. surat., Gujarat, India",True
Bore Well Of Navsari Gidc Industries Association Office.,2091,22.243055,68.965726,"office., Gujarat, India",True
Well Of Bardoli At Rest House.,2093,22.2428182,68.956734,"rest house., Gujarat, India",True
"Bore Well Of Someshwar Rice Mill, Nr. Bavla Eco Project, (Cetp ), Vill. Bavla, Dist. Ahmedabad.",2097,22.8278859,72.3684741,"bavla dist. ahmedabad., Gujarat, India",True
"Borewell Of Gidc, Jhagadia",3207,21.7157199,73.1497026,"jhagadia, Gujarat, India",True
"Borewell Of Gayatri Pragna School, Bhadarwad Road, Bazar Falia, Sarigam, Valsad",3209,20.2834614,72.8705969,"sarigam valsad, Gujarat, India",True
"Borewell, Cetp-Naroda, Gidc, Naroda- Ahmedabad",3213,23.0926586,72.6687953,"gidc naroda ahmedabad, Gujarat, India",True
"Borewell Near Municipal Solid Waste Site- Gyaspur, Narol, Ahmedabad",3215,22.9845276,72.528063,"gyaspur narol ahmedabad, Gujarat, India",True
"Borewell Near Tsdf Site Of Naroda Enviro Project.Ltd, Odhave, Ahmedabad",3217,23.0215374,72.5800568,"ahmedabad, Gujarat, India",True
"Borewell Near Tsdf Site Of Saurashtra Enviro Project Ltd., Juna Katariya, Bhachau",3231,23.3054506,70.6186751,"juna katariya bhachau, Gujarat, India",True
"Borewell Of Gidc Kalol, B/H Gidc Office, Gidc, Kalol, Gandhinagr",3235,,,,False
"Borewell Of L & T Ltd., Plot No. 144/146, Sarkhej-Bavla Road, Sanand, Ahmedabad",3237,23.0015941,72.2595567,"sanand ahmedabad, Gujarat, India",True
"Borewell Of Shri Mahavir Metal Craft Pvt. Ltd., Plot No. 3059, Road No.6, Nr. Mahavir Circle, Phase-Iii, Gidc, Dared, Jamnagar",3247,22.4140309,70.05799,"gidc dared jamnagar, Gujarat, India",True
"Chandola Lake At Ahmedabad, Gujarat",1344,22.986953,72.5869638,"chandola lake ahmedabad gujarat, Gujarat, India",True
"Sursagar Lake At Baroda, Gujarat",1346,22.3108103,73.1657471,"baroda gujarat, Gujarat, India",True
"Bindusarovar, Siddhpur (Dist.Patan)",1973,23.918279,72.3681846,"siddhpur dist.patan, Gujarat, India",True
"Lakhota Talav, Jamnagar",1975,21.9770374,69.949453,"talav jamnagar, Gujarat, India",True
"Ranjitnagar Talav (Halol), Panchmahals",1978,22.5025899,73.4691058,"halol panchmahals, Gujarat, India",True
Ankleshwar Reservoir At Gidc Ankleshwar At Valia Road.,2076,21.5711115,73.1608821,"valia, Gujarat, India",True
"Gomti Lake, Opp, Ranchodaji Temple, Dakor, Kheda",3198,22.7544106,73.1490273,"temple dakor kheda, Gujarat, India",True
"Hamisar Talav, Bhuj",3199,23.5715003,69.665591,"talav bhuj, Gujarat, India",True
Moonsar Lake Of Viramgam,3200,23.1222651,72.0433455,"lake viramgam, Gujarat, India",True
"Malav Talav, Dholka",3201,22.7267029,72.4354271,"malav talav dholka, Gujarat, India",True
Vheraimata Talav At Anand,3202,22.4739858,72.7361779,"anand, Gujarat, India",True
"Dhudhia Talav At Navsari, Dist. Navsari.",2079,20.8115038,72.9966494,"navsari dist. navsari., Gujarat, India",True
2080,GEN-54FF9E,23.1629053,72.688695,"2080, Gujarat, India",True
2081,GEN-0070D2,23.1629053,72.688695,"2081, Gujarat, India",True
1148,GEN-DF0AAB,22.8200716,69.5188867,"1148, Gujarat, India",True
1149,GEN-09C6C3,22.8200716,69.5188867,"1149, Gujarat, India",True
1860,GEN-96C5C2,22.8200716,69.5188867,"1860, Gujarat, India",True
1865,GEN-69D1FC,23.1629053,72.688695,"1865, Gujarat, India",True
"Mahi After Conf. With Anas At Pardi (Banaswada),",1230,,,,False
"Mahi At Virpur,",1231,21.8490419,70.707834,"virpur, Gujarat, India",True
"Sabarmati At Kheroj Bridge,",1221,,,,False
"Sabarmati At Gandhi Nagar Chiloda Bridge, Lekawada,",1407,,,,False
"Sabarmati At Vill. Miroli Taluka Dascroi, Ahmedabad,",1408,23.0215374,72.5800568,"ahmedabad, Gujarat, India",True
"Sabarmati At Railway Bridge Ahmedabad,",1409,23.0773,72.5863308,"sabarmati railway ahmedabad, Gujarat, India",True
"Sabarmati River At Hansaol Bridge,",1866,,,,False
"Sabarmati After Conf. With Meshwa At Vautha (Near Dhokla),",1223,22.2403001,68.9669066,"dhokla, Gujarat, India",True
"Sabarmati At Mahudi Jain Temple, 150 Km. Form Origin,",1482,23.8344451,71.5482993,"origin, Gujarat, India",True
"Shedhi At Kheda,",1222,22.8990926,72.9948451,"shedhi kheda, Gujarat, India",True
"Khari At Lali Village Near Ahmedabad,",1437,22.8689262,72.6280463,"lali ahmedabad, Gujarat, India",True
"Panam At Lunawada,",1227,,,,False
"Narmada At Bharuch, Zadeshvar,",1243,,,,False
"Narmada At Panetha,",1244,21.8899476,73.2682943,"panetha, Gujarat, India",True
"Narmada At Chandod,",1245,21.9866962,73.4545373,"chandod, Gujarat, India",True
"Tapi At Mandavi,",1247,,,,False
"Tapi At Surat U/S Kathore,",1248,,,,False
Tapi River Near Bardoli (Kapp Bridge) Bardoli,1983,21.1338291,73.1053896,"bardoli, Gujarat, India",True
"Tapi River At Ongc Bridge At Surat, Dist. Surat",2071,21.1652945,72.7763076,"surat dist. surat, Gujarat, India",True
Tapi At Nepanagar,9,,,,False
Tapi At Burhanpur,10,,,,False
"Tapi At Kathore, (Nh8 Bridge)",Stationcode,,,,False
"Kim River At Sahol Bridge, Olpad Hansot Road, Dist. Surat",2070,21.1652945,72.7763076,"dist. surat, Gujarat, India",True
"Amravati At Village Dadhal , Ta Ankleshwar, Bharuch",3203,21.6355384,73.0620214,"dadhal ankleshwar bharuch, Gujarat, India",True
Well At Ahmedabad,3,23.0260917,72.4821409,"well ahmedabad, Gujarat, India",True
6,GEN-167909,23.1658045,72.6506733,"6, Gujarat, India",True
1226,GEN-3210DD,22.8200716,69.5188867,"1226, Gujarat, India",True
1948,GEN-7CA57A,22.8200716,69.5188867,"1948, Gujarat, India",True
1949,GEN-36AC8E,22.8200716,69.5188867,"1949, Gujarat, India",True
1950,GEN-03E7D2,22.8200716,69.5188867,"1950, Gujarat, India",True
1953,GEN-A38B16,22.8200716,69.5188867,"1953, Gujarat, India",True
1954,GEN-5A7F96,22.8200716,69.5188867,"1954, Gujarat, India",True
1955,GEN-378A06,23.1629053,72.688695,"1955, Gujarat, India",True
1956,GEN-E34084,22.8200716,69.5188867,"1956, Gujarat, India",True
1957,GEN-277A78,22.8200716,69.5188867,"1957, Gujarat, India",True
1958,GEN-D77F00,23.1629053,72.688695,"1958, Gujarat, India",True
1959,GEN-E4DD55,22.8200716,69.5188867,"1959, Gujarat, India",True
1960,GEN-7F1610,22.8200716,69.5188867,"1960, Gujarat, India",True
1961,GEN-F106B7,22.8200716,69.5188867,"1961, Gujarat, India",True
1962,GEN-95F687,22.8200716,69.5188867,"1962, Gujarat, India",True
1963,GEN-C215B4,22.8200716,69.5188867,"1963, Gujarat, India",True
1965,GEN-D46E1F,22.8200716,69.5188867,"1965, Gujarat, India",True
1966,GEN-3683AF,22.8200716,69.5188867,"1966, Gujarat, India",True
1967,GEN-A82D92,22.8200716,69.5188867,"1967, Gujarat, India",True
1968,GEN-98C724,22.8200716,69.5188867,"1968, Gujarat, India",True
2084,GEN-A088EA,22.8200716,69.5188867,"2084, Gujarat, India",True
2085,GEN-E0A209,22.8200716,69.5188867,"2085, Gujarat, India",True
2088,GEN-D3A7F4,23.1629053,72.688695,"2088, Gujarat, India",True
2090,GEN-26F5BD,22.8200716,69.5188867,"2090, Gujarat, India",True
2093,GEN-B2AB00,22.8200716,69.5188867,"2093, Gujarat, India",True
3207,GEN-D77E68,22.8200716,69.5188867,"3207, Gujarat, India",True
3219,GEN-94B5BD,23.1629053,72.688695,"3219, Gujarat, India",True
3221,GEN-F5C150,22.8200716,69.5188867,"3221, Gujarat, India",True
3222,GEN-687FD5,23.1629053,72.688695,"3222, Gujarat, India",True
3223,GEN-DF8397,22.8200716,69.5188867,"3223, Gujarat, India",True
3224,GEN-0D352B,22.8200716,69.5188867,"3224, Gujarat, India",True
3225,GEN-6DFE08,22.8200716,69.5188867,"3225, Gujarat, India",True
3226,GEN-907EDB,23.1629053,72.688695,"3226, Gujarat, India",True
3227,GEN-AAC615,22.8200716,69.5188867,"3227, Gujarat, India",True
3228,GEN-040A99,23.1629053,72.688695,"3228, Gujarat, India",True
3229,GEN-85AE75,23.1629053,72.688695,"3229, Gujarat, India",True
3230,GEN-C12706,22.8200716,69.5188867,"3230, Gujarat, India",True
3238,GEN-528AEC,22.8200716,69.5188867,"3238, Gujarat, India",True
3239,GEN-AE3539,22.8200716,69.5188867,"3239, Gujarat, India",True
3243,GEN-38811C,22.8200716,69.5188867,"3243, Gujarat, India",True
1975,GEN-7D2B92,22.8200716,69.5188867,"1975, Gujarat, India",True
3199,GEN-B59307,22.8200716,69.5188867,"3199, Gujarat, India",True
3201,GEN-24EC84,22.8200716,69.5188867,"3201, Gujarat, India",True
"Ambika At Bilimora, Gujarat",1148,20.7671693,72.9693451,"bilimora gujarat, Gujarat, India",True
"Damanganga At Kachigaon U\S At Gidc Wier, Gujarat",1150,23.0373068,72.5447481,"gujarat, Gujarat, India",True
"Damanganga At Kachigaon D\S (Daman), Gujarat",1246,20.2072531,73.2762766,"daman gujarat, Gujarat, India",True
Amlakhadi After Confl. Of W. Water From Anklesh,1434,,,,False
"Kolak At Railway Bridge No. 313 Vapi, Valsad, Guja",1435,,,,False
Bhadar D/S Jetpur Vill. After Conf. Of W.Water Fro,1436,,,,False
"Mindhola At State Highway Bridge Sachin, Gujarat",1438,21.0778781,72.8744643,"sachin gujarat, Gujarat, India",True
River Purna On Bridge At Surat-Navsari Highway,1861,21.0055271,73.0916595,"purna surat navsari, Gujarat, India",True
River Kaveri On Bridge At Billimora-Valsad Road,1862,20.4321957,73.1409893,"valsad, Gujarat, India",True
River Bhogavo D/S Of Surendranagar.,2072,22.8251395,71.6209736,"surendranagar., Gujarat, India",True
"Triveni Sangam, Nr. Somnath Temple, Veraval, Dist.",2082,20.8877607,70.4013906,"temple veraval dist., Gujarat, India",True
Downstream Of River Vishwamitri At Khalipur Villag,3204,,,,False
Upstream Of River Vishwamitri At Asod Bridge At N.,3205,,,,False
"Damanganga At D/S Of Gidc Weir, Vapi",30039,20.3735482,72.9084376,"vapi, Gujarat, India",True
Gujarat,"NARMADA MAIN CANAL, NR.
VILLAGE. LIMBADIA, DIST. G",23.0373068,72.5447481,"gujarat, Gujarat, India",True
"Mahi Near Rajasthan Border At Kadana Dam, Gujarat",1229,23.289682,73.8380384,"kadana gujarat, Gujarat, India",True
"Mahi After Conf. With Anas At Pardi (Banaswada), G",1230,,,,False
1864,GEN-D07267,22.8200716,69.5188867,"1864, Gujarat, India",True
"Mahi At Vasad, Gujarat",5,22.4516351,73.0671647,"vasad gujarat, Gujarat, India",True
"River Mahi At Sindhort Weir,Gujarat",3206,23.0373068,72.5447481,"gujarat, Gujarat, India",True
"Anas At Dahod, (Kushalgarh), Dist. Panchmahal, Guj",1228,22.5415068,73.4334443,"dist. panchmahal, Gujarat, India",True
"Sabarmati At Gandhi Nagar Chiloda Bridge, Lekawada",1407,,,,False
"Sabarmati At Vill. Miroli Taluka Dascroi, Ahmedaba",1408,,,,False
"Sabarmati At Railway Bridge Ahmedabad, Gujarat",1409,23.0773,72.5863308,"sabarmati railway ahmedabad gujarat, Gujarat, India",True
Sabarmati After Conf. With Meshwa At Vautha (Near,1223,22.6593623,72.5367272,"vautha, Gujarat, India",True
"Sabarmati At Ahmedabad At V.N. Bridge, Gujarat",2,23.0985675,69.6157893,"v.n. gujarat, Gujarat, India",True
"Khari At Lali Village Near Ahmedabad, Gujarat",1437,22.8689262,72.6280463,"lali ahmedabad gujarat, Gujarat, India",True
"Narmada At Garudeshwar, Gujarat",7,21.8332875,73.7590407,"narmada garudeshwar gujarat, Gujarat, India",True
"Narmada At Bharuch, Zadeshvar, Gujarat",1243,23.0373068,72.5447481,"gujarat, Gujarat, India",True
"Narmada At Panetha, Gujarat",1244,21.8899476,73.2682943,"panetha gujarat, Gujarat, India",True
"Narmada At Chandod, Gujarat",1245,21.9866962,73.4545373,"chandod gujarat, Gujarat, India",True
Ground Water At Bhavnagar,1948,21.7592999,72.1464797,"ground bhavnagar, Gujarat, India",True
Ground Water At Siddhpur (Dist.Patan),1957,23.918279,72.3681846,"siddhpur dist.patan, Gujarat, India",True
Ground Water At Himatnagar,1958,23.5989302,72.9849779,"ground himatnagar, Gujarat, India",True
Vadodara (Industrial- Nandesari),1962,22.4178037,73.0949186,"nandesari, Gujarat, India",True
Well At Ankleshwar Industrial Area (Bore Well Of M/S Industrial Carbon At Ankleshwar- Rajpipla Road.,2094,21.878069,73.5039695,"rajpipla, Gujarat, India",True
"Bore Well, Snr. Vinayak Jal Suddhikaran Sahakari Mandali Ltd. (Cetp ), Vill. Bavla, Dist. Ahmedabad.",2096,22.8278859,72.3684741,"bavla dist. ahmedabad., Gujarat, India",True
"Bore Well Of Pirana Terminal Pumping Station,",2098,23.0130458,72.6045406,"terminal, Gujarat, India",True
"Jilla Panchayat School, Near Gram Panchayat Kata Falia, Village Namdha, Valsad",3208,20.4321957,73.1409893,"valsad, Gujarat, India",True
"Borewell At Piramal Glass, Village Tarsadi At Kosamba Industrial Area, Surat",3210,21.3333433,72.8961941,"industrial surat, Gujarat, India",True
"Borewell Near Center Of Excellence Building, Gidc, Vatva, Ahmedabad",3212,22.9752916,72.6430213,"gidc vatva ahmedabad, Gujarat, India",True
"Borewell Near Gidc Odhav Industrial Association Building, Gidc, Odhav, Ahmedabad",3214,23.0185001,72.6577647,"odhav ahmedabad, Gujarat, India",True
"Borewell Near Tsdf Site Of Green Environmnet Services Co. Op.Ltd, Vatva, Ahmedabad",3216,22.9688355,72.6067645,"vatva ahmedabad, Gujarat, India",True
"Borewell Of Gidc-Nadiad At Gidc Office, Gidc Nadiad, Kheda",3220,22.6942577,72.8590972,"nadiad kheda, Gujarat, India",True
"Borewell Of Gidc, Antalia Water Supply, Billimora, Gandevi",3232,20.8029715,72.9966726,"gandevi, Gujarat, India",True
"Borewell Nera Tsdf Of Nandesari Enviro Control Limited, Nadesari, Vadodara",3234,22.2973142,73.1942567,"vadodara, Gujarat, India",True
